id,hash,message,id_user
20,ashlakak,me asusta morir,106
21,fkjsfa,me asusta morir,126
22,titititin,people like boss,144
23,ashlakak,people like boss,126
24,titititin,vaso,142
25,titititin,holamundo,181
26,fkjsfa,holamundo,193
27,lololo,me asusta morir,108
28,ashlakak,me gusta america y a america le gusto,166
29,lololo,me gusta america y a america le gusto,169
30,titititin,me asusta morir,124
31,pumpumpum,me gusta america y a america le gusto,179
32,lololo,me asusta morir,120
33,titititin,me asusta morir,166
34,ashlakak,me gusta america y a america le gusto,183
35,qoeieiq,me gusta america y a america le gusto,146
36,fkjsfa,now you see me now you dont,173
37,titititin,holamundo,183
38,lololo,me asusta morir,161
39,pumpumpum,vaso,100
40,titititin,holamundo,168
41,pumpumpum,people like boss,154
42,pumpumpum,me asusta morir,174
43,fkjsfa,vaso,186
44,titititin,people like boss,189
45,pumpumpum,me gusta america y a america le gusto,188
46,fkjsfa,vaso,183
47,fkjsfa,me gusta america y a america le gusto,172
48,titititin,vaso,156
49,fkjsfa,vaso,119
50,pumpumpum,me asusta morir,183
51,pumpumpum,people like boss,130
52,qoeieiq,people like boss,173
53,pumpumpum,me asusta morir,108
54,titititin,me asusta morir,173
55,fkjsfa,people like boss,194
56,ashlakak,people like boss,137
57,titititin,me gusta america y a america le gusto,149
58,qoeieiq,people like boss,100
59,lololo,me gusta america y a america le gusto,124
60,fkjsfa,me asusta morir,180
61,ashlakak,vaso,145
62,titititin,people like boss,151
63,pumpumpum,me asusta morir,139
64,titititin,vaso,193
65,qoeieiq,now you see me now you dont,189
66,titititin,vaso,152
67,lololo,me asusta morir,160
68,lololo,vaso,178
69,lololo,now you see me now you dont,163
70,fkjsfa,me asusta morir,163
71,lololo,now you see me now you dont,111
72,fkjsfa,me gusta america y a america le gusto,106
73,lololo,now you see me now you dont,150
74,qoeieiq,vaso,144
75,titititin,vaso,171
76,qoeieiq,now you see me now you dont,172
77,fkjsfa,people like boss,166
78,lololo,me asusta morir,185
79,lololo,holamundo,110
80,lololo,now you see me now you dont,134
81,ashlakak,vaso,161
82,titititin,me gusta america y a america le gusto,117
83,pumpumpum,vaso,169
84,lololo,me asusta morir,102
85,fkjsfa,people like boss,139
86,titititin,me gusta america y a america le gusto,161
87,titititin,me gusta america y a america le gusto,149
88,titititin,vaso,113
89,qoeieiq,me gusta america y a america le gusto,193
90,lololo,people like boss,111
91,fkjsfa,me asusta morir,133
92,qoeieiq,me asusta morir,194
93,titititin,vaso,134
94,lololo,vaso,132
95,pumpumpum,me asusta morir,121
96,lololo,vaso,126
97,pumpumpum,now you see me now you dont,134
98,lololo,me asusta morir,176
99,fkjsfa,me gusta america y a america le gusto,147
100,pumpumpum,holamundo,199
101,titititin,holamundo,129
102,ashlakak,people like boss,134
103,fkjsfa,me gusta america y a america le gusto,132
104,lololo,me gusta america y a america le gusto,196
105,pumpumpum,me asusta morir,180
106,pumpumpum,people like boss,105
107,ashlakak,holamundo,110
